Id2,Total,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
250251204001,762,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,45,72,51,40,18,251,75,99,65
250251204002,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,108,64,265,106,60,108
250251204003,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,18,0,441,282,227,14
250251204004,1332,0,0,0,0,0,7,0,0,0,0,0,5,7,0,56,42,36,15,29,35,477,399,165,59
250251204005,1351,16,0,0,0,0,0,0,0,0,0,0,0,24,0,13,144,0,16,100,43,468,211,117,199
250251205001,584,0,0,0,5,0,0,0,21,0,20,0,0,10,0,0,39,12,6,26,42,205,161,5,32
250251205002,687,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,62,10,52,16,296,67,42,38
250251205003,694,8,0,0,0,0,5,9,0,4,0,8,10,0,0,52,178,4,11,55,19,157,134,0,40
250251206001,522,0,0,0,0,0,0,0,0,0,9,0,0,0,0,11,29,16,20,21,11,117,45,178,65
250251206002,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,281,158,76,39
250251206003,702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,19,6,0,12,45,304,158,54,61
250251207001,738,9,0,0,0,0,0,17,21,0,9,5,0,0,0,14,123,32,46,86,25,156,142,11,42
250251207002,1119,0,0,0,0,0,0,0,11,0,22,6,0,7,6,0,37,5,0,60,25,318,308,69,245
250251301001,807,0,0,0,0,0,22,0,0,14,0,0,13,46,0,0,48,0,62,94,26,168,285,21,8
250251301002,1323,45,0,0,0,0,0,0,0,0,0,0,0,0,0,16,55,32,44,96,97,368,351,108,111
250251301003,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,38,292,209,13,35
250251301004,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,87,14,0,181,13,146,87,0,22
250251301005,802,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,172,38,18,99,14,205,134,0,20
250251301006,203,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,65,0,0,16,2,24,47,40,0
250251301007,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,113,17,58,12,0,190,214,35,0
250251302001,630,0,0,0,0,0,0,0,0,9,0,0,0,2,2,9,153,0,10,21,50,219,85,24,46
250251302002,949,0,0,0,0,0,0,0,0,4,30,9,0,0,23,0,204,0,30,114,28,230,240,21,16
250251302003,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,141,0,27,64,64,393,332,74,72
250251302004,478,0,0,0,0,0,0,0,0,8,0,0,0,0,0,17,65,0,10,60,11,136,113,9,49
