Id2,Total,"Car, truck, or van",Public transportation (excluding taxicab),Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked at home
2.50251E+11,434,340,81,0,0,0,0,0,13
2.50251E+11,626,249,348,0,0,0,0,0,29
2.50251E+11,511,299,133,0,0,50,0,0,29
2.50251E+11,291,143,88,0,0,10,0,0,50
2.50251E+11,110,22,88,0,0,0,0,0,0
2.50251E+11,360,124,210,0,0,26,0,0,0
2.50251E+11,1274,536,612,0,0,0,23,0,103
2.50251E+11,371,84,190,0,0,47,33,0,17
2.50251E+11,612,339,273,0,0,0,0,0,0
2.50251E+11,1217,858,299,0,0,6,31,0,23
2.50251E+11,704,499,132,0,0,6,0,58,9
2.50251E+11,840,582,206,0,0,0,23,0,29
2.50251E+11,759,350,368,0,0,0,12,0,29
2.50251E+11,1274,814,388,7,0,0,28,0,37
2.50251E+11,600,348,223,0,0,10,0,0,19
2.50251E+11,593,307,233,0,0,8,0,0,45
2.50251E+11,245,178,29,0,0,38,0,0,0
2.50251E+11,637,510,90,0,10,11,0,0,16
2.50251E+11,505,397,93,0,0,0,0,0,15
2.50251E+11,528,364,113,0,13,38,0,0,0
2.50251E+11,850,582,208,0,0,32,0,10,18
2.50251E+11,621,412,160,0,0,12,0,0,37
2.50251E+11,1122,727,265,39,0,18,52,0,21
2.50251E+11,1404,1066,217,0,0,26,48,0,47
2.50251E+11,329,188,98,0,0,10,18,0,15
2.50251E+11,761,509,205,0,0,13,2,0,32
2.50251E+11,561,438,71,0,0,0,0,0,52
2.50251E+11,608,449,104,0,0,55,0,0,0
2.50251E+11,859,569,248,0,0,0,0,29,13
2.50251E+11,1164,550,509,0,0,14,23,0,68
2.50251E+11,437,226,134,0,0,59,0,0,18
2.50251E+11,1025,557,212,0,0,92,66,17,81
2.50251E+11,390,141,173,0,0,29,11,0,36
2.50251E+11,406,199,115,0,0,83,1,0,8
2.50251E+11,631,279,192,0,0,23,93,32,12
2.50251E+11,508,227,100,0,0,8,128,0,45
2.50251E+11,525,388,61,5,0,28,11,0,32
2.50251E+11,287,173,18,0,0,0,36,15,45
2.50251E+11,817,370,310,0,0,74,44,0,19
2.50251E+11,1216,498,614,13,0,69,22,0,0
2.50251E+11,267,134,115,0,0,0,0,7,11
2.50251E+11,886,409,268,0,0,122,44,22,21
2.50251E+11,686,291,304,0,0,65,26,0,0
2.50251E+11,729,257,369,0,0,52,22,11,18
2.50251E+11,815,343,351,0,0,25,21,0,75
2.50251E+11,564,367,180,0,0,0,0,0,17
2.50251E+11,523,115,322,0,0,86,0,0,0
2.50251E+11,1028,242,633,0,13,14,17,0,109
2.50251E+11,1054,534,417,0,0,40,14,0,49
2.50251E+11,825,268,428,0,0,0,48,0,81
2.50251E+11,481,151,286,0,0,33,0,0,11
2.50251E+11,628,190,319,6,0,53,42,5,13
2.50251E+11,505,168,264,0,0,41,19,4,9
2.50251E+11,611,265,231,0,0,49,25,9,32
2.50251E+11,524,181,263,0,0,44,8,0,28
2.50251E+11,626,77,446,0,0,17,69,0,17
2.50251E+11,532,181,282,19,0,29,18,0,3
2.50251E+11,783,330,267,8,0,104,28,8,38
2.50251E+11,446,283,87,0,0,0,0,39,37
2.50251E+11,1090,842,190,0,0,0,0,0,58
2.50251E+11,463,291,118,22,0,0,14,0,18
2.50251E+11,312,245,67,0,0,0,0,0,0
2.50251E+11,545,346,157,0,0,0,0,0,42
2.50251E+11,102,65,14,0,0,0,0,0,23
2.50251E+11,558,545,0,0,0,0,13,0,0
2.50251E+11,498,391,58,0,0,0,49,0,0
2.50251E+11,611,506,93,0,0,0,0,0,12
2.50251E+11,799,590,98,0,0,0,26,0,85
2.50251E+11,506,408,88,0,0,0,0,0,10
2.50251E+11,549,372,73,0,0,0,29,0,75
2.50251E+11,502,359,92,0,0,0,9,12,30
2.50251E+11,491,302,98,0,0,0,18,0,73
2.50251E+11,358,284,52,0,0,0,0,0,22
2.50251E+11,797,723,55,0,0,0,0,0,19
