Id2,Total
2.50251E+11,558
2.50251E+11,438
2.50251E+11,660
2.50251E+11,854
2.50251E+11,600
2.50251E+11,413
2.50251E+11,100
2.50251E+11,722
2.50251E+11,497
2.50251E+11,508
2.50251E+11,379
2.50251E+11,482
2.50251E+11,430
2.50251E+11,485
2.50251E+11,572
2.50251E+11,671
2.50251E+11,303
2.50251E+11,770
2.50251E+11,578
2.50251E+11,563
2.50251E+11,620
2.50251E+11,546
2.50251E+11,349
2.50251E+11,453
2.50251E+11,593
2.50251E+11,397
2.50251E+11,362
2.50251E+11,285
2.50251E+11,2211
2.50251E+11,323
2.50251E+11,601
2.50251E+11,362
2.50251E+11,427
2.50251E+11,484
2.50251E+11,1028
2.50251E+11,591
2.50251E+11,546
2.50251E+11,304
2.50251E+11,260
2.50251E+11,907
2.50251E+11,1611
2.50251E+11,320
2.50251E+11,523
2.50251E+11,938
2.50251E+11,195
2.50251E+11,473
2.50251E+11,712
2.50251E+11,111
2.50251E+11,729
2.50251E+11,891
2.50251E+11,311
2.50251E+11,472
2.50251E+11,439
2.50251E+11,966
2.50251E+11,794
2.50251E+11,513
2.50251E+11,822
2.50251E+11,682
2.50251E+11,1089
2.50251E+11,1227
2.50251E+11,290
2.50251E+11,1024
2.50251E+11,680
2.50251E+11,629
2.50251E+11,625
2.50251E+11,659
2.50251E+11,761
2.50251E+11,1022
2.50251E+11,553
2.50251E+11,593
2.50251E+11,1271
2.50251E+11,509
2.50251E+11,1048
2.50251E+11,594
2.50251E+11,551
2.50251E+11,916
2.50251E+11,640
2.50251E+11,534
2.50251E+11,276
2.50251E+11,956
2.50251E+11,565
2.50251E+11,852
2.50251E+11,517
2.50251E+11,913
2.50251E+11,304
2.50251E+11,371
2.50251E+11,306
2.50251E+11,348
2.50251E+11,657
2.50251E+11,754
2.50251E+11,396
2.50251E+11,405
2.50251E+11,254
2.50251E+11,1236
2.50251E+11,299
2.50251E+11,470
2.50251E+11,422
2.50251E+11,878
2.50251E+11,452
2.50251E+11,784
2.50251E+11,654
2.50251E+11,894
2.50251E+11,771
2.50251E+11,640
2.50251E+11,588
2.50251E+11,343
2.50251E+11,576
2.50251E+11,373
2.50251E+11,624
2.50251E+11,226
2.50251E+11,506
2.50251E+11,308
2.50251E+11,343
2.50251E+11,394
2.50251E+11,420
2.50251E+11,608
2.50251E+11,474
2.50251E+11,429
2.50251E+11,409
2.50251E+11,208
2.50251E+11,478
2.50251E+11,714
2.50251E+11,263
2.50251E+11,403
2.50251E+11,453
2.50251E+11,820
2.50251E+11,1043
2.50251E+11,736
2.50251E+11,270
2.50251E+11,376
2.50251E+11,432
2.50251E+11,228
2.50251E+11,264
2.50251E+11,329
2.50251E+11,282
2.50251E+11,354
2.50251E+11,657
2.50251E+11,330
2.50251E+11,218
2.50251E+11,642
2.50251E+11,220
2.50251E+11,312
2.50251E+11,412
2.50251E+11,430
2.50251E+11,536
2.50251E+11,592
2.50251E+11,578
2.50251E+11,322
2.50251E+11,683
2.50251E+11,884
2.50251E+11,350
2.50251E+11,375
2.50251E+11,289
2.50251E+11,452
2.50251E+11,591
2.50251E+11,535
2.50251E+11,257
2.50251E+11,319
2.50251E+11,273
2.50251E+11,579
2.50251E+11,422
2.50251E+11,296
2.50251E+11,512
2.50251E+11,404
2.50251E+11,668
2.50251E+11,347
2.50251E+11,698
2.50251E+11,798
2.50251E+11,347
2.50251E+11,689
2.50251E+11,345
2.50251E+11,224
2.50251E+11,473
2.50251E+11,408
2.50251E+11,255
2.50251E+11,523
2.50251E+11,459
2.50251E+11,306
2.50251E+11,363
2.50251E+11,268
2.50251E+11,608
2.50251E+11,241
2.50251E+11,578
2.50251E+11,558
2.50251E+11,286
2.50251E+11,444
2.50251E+11,401
2.50251E+11,326
2.50251E+11,401
2.50251E+11,393
