tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,year,month
1246,1/1/2016 13:46,1/1/2016 14:07,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,196,Subscriber,\N,0,2016,1
1976,1/1/2016 13:49,1/1/2016 14:22,179,MIT Vassar St,42.35560121,-71.10394478,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919032,-71.11714125,14,Subscriber,\N,0,2016,1
341,1/1/2016 13:49,1/1/2016 13:55,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,179,MIT Vassar St,42.35560121,-71.10394478,691,Subscriber,1990,2,2016,1
701,1/1/2016 13:49,1/1/2016 14:01,143,EF - North Point Park,42.369885,-71.069957,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,1134,Subscriber,1972,2,2016,1
1951,1/1/2016 13:49,1/1/2016 14:22,179,MIT Vassar St,42.35560121,-71.10394478,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919032,-71.11714125,1017,Subscriber,\N,0,2016,1
348,1/1/2016 13:52,1/1/2016 13:58,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,107,Ames St at Main St,42.3625,-71.08822,1514,Subscriber,1990,1,2016,1
226,1/1/2016 13:55,1/1/2016 13:59,177,University Park,42.36264779,-71.10006094,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,451,Subscriber,\N,0,2016,1
216,1/1/2016 13:56,1/1/2016 13:59,177,University Park,42.36264779,-71.10006094,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,449,Subscriber,\N,0,2016,1
181,1/1/2016 13:59,1/1/2016 14:02,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,754,Subscriber,1991,1,2016,1
454,1/1/2016 14:07,1/1/2016 14:14,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,1002,Subscriber,1978,1,2016,1
464,1/1/2016 14:07,1/1/2016 14:14,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,156,Subscriber,1980,2,2016,1
537,1/1/2016 14:19,1/1/2016 14:28,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,371,Subscriber,1992,1,2016,1
621,1/1/2016 14:23,1/1/2016 14:33,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,738,Subscriber,1988,1,2016,1
1011,1/1/2016 14:23,1/1/2016 14:40,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,78,Union Square - Somerville,42.379637,-71.095319,913,Subscriber,1989,1,2016,1
934,1/1/2016 14:25,1/1/2016 14:41,117,Binney St / Sixth St,42.366095,-71.086388,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,1293,Customer,1974,1,2016,1
299,1/1/2016 14:29,1/1/2016 14:34,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,1473,Subscriber,1972,2,2016,1
374,1/1/2016 14:32,1/1/2016 14:38,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,1094,Subscriber,1955,2,2016,1
1360,1/1/2016 14:50,1/1/2016 15:12,115,Porter Square Station,42.387995,-71.119084,57,Columbus Ave. at Mass. Ave.,42.340799,-71.081572,155,Subscriber,1988,1,2016,1
691,1/1/2016 14:55,1/1/2016 15:07,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,708,Subscriber,1989,2,2016,1
687,1/1/2016 14:56,1/1/2016 15:07,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,754,Customer,1986,1,2016,1
381,1/1/2016 15:07,1/1/2016 15:13,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,347,Customer,1983,2,2016,1
505,1/1/2016 15:10,1/1/2016 15:19,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,1473,Subscriber,1987,1,2016,1
584,1/1/2016 15:11,1/1/2016 15:21,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,1094,Subscriber,1955,2,2016,1
943,1/1/2016 15:14,1/1/2016 15:30,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,646,Subscriber,\N,0,2016,1
935,1/1/2016 15:14,1/1/2016 15:30,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,1550,Subscriber,\N,0,2016,1
502,1/1/2016 15:17,1/1/2016 15:26,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,115,Porter Square Station,42.387995,-71.119084,121,Subscriber,1987,1,2016,1
179,1/1/2016 15:17,1/1/2016 15:20,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919032,-71.11714125,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,1456,Subscriber,1989,1,2016,1
331,1/1/2016 15:19,1/1/2016 15:24,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,909,Subscriber,\N,0,2016,1
905,1/1/2016 15:23,1/1/2016 15:38,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,893,Subscriber,1975,1,2016,1
764,1/1/2016 15:26,1/1/2016 15:39,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,78,Union Square - Somerville,42.379637,-71.095319,90,Subscriber,\N,0,2016,1
652,1/1/2016 15:28,1/1/2016 15:39,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,78,Union Square - Somerville,42.379637,-71.095319,277,Subscriber,\N,0,2016,1
950,1/1/2016 15:28,1/1/2016 15:44,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,107,Ames St at Main St,42.3625,-71.08822,1293,Customer,1974,1,2016,1
81125,1/1/2016 15:29,1/2/2016 14:01,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,78,Union Square - Somerville,42.379637,-71.095319,260,Subscriber,\N,0,2016,1
